"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBFOX3",0,3.35259856627644,0.755,0.183,0,"Retinal ganglion cells","RBFOX3"
"EBF3",0,3.31229571373113,0.752,0.195,0,"Retinal ganglion cells","EBF3"
"SLIT1",0,3.17274428934745,0.648,0.118,0,"Retinal ganglion cells","SLIT1"
"CACNA1B",0,2.70796022768852,0.759,0.258,0,"Retinal ganglion cells","CACNA1B"
"PRUNE2",0,2.68825352852108,0.696,0.201,0,"Retinal ganglion cells","PRUNE2"
"ELAVL4",0,2.4917994034467,0.713,0.22,0,"Retinal ganglion cells","ELAVL4"
"ANK1",0,3.00956990223129,0.56,0.071,0,"Retinal ganglion cells","ANK1"
"NMNAT2",0,2.16991839053563,0.678,0.211,0,"Retinal ganglion cells","NMNAT2"
"SCN9A",0,2.16076846131059,0.638,0.172,0,"Retinal ganglion cells","SCN9A"
"SEZ6L",0,2.4215244737739,0.634,0.171,0,"Retinal ganglion cells","SEZ6L"
"NYAP2",0,2.09630698957462,0.64,0.185,0,"Retinal ganglion cells","NYAP2"
"MAPT",0,1.93984216929244,0.692,0.237,0,"Retinal ganglion cells","MAPT"
"GAP43",0,1.95150888178302,0.797,0.344,0,"Retinal ganglion cells","GAP43"
"POU6F2",0,2.85950038510547,0.859,0.41,0,"Retinal ganglion cells","POU6F2"
"RUNDC3B",0,2.18192179451519,0.629,0.183,0,"Retinal ganglion cells","RUNDC3B"
"KLHL1",0,2.60512236444834,0.729,0.284,0,"Retinal ganglion cells","KLHL1"
"SRRM3",0,2.05590112926149,0.695,0.25,0,"Retinal ganglion cells","SRRM3"
"GABBR2",0,1.6559765230543,0.668,0.226,0,"Retinal ganglion cells","GABBR2"
"SLC17A6",0,2.93880590425319,0.516,0.079,0,"Retinal ganglion cells","SLC17A6"
"ISL1",0,2.46087887605868,0.518,0.085,0,"Retinal ganglion cells","ISL1"
"BASP1-AS1",0,2.349023718545,0.559,0.128,0,"Retinal ganglion cells","BASP1-AS1"
"CACNA1A",0,1.91291211297758,0.735,0.304,0,"Retinal ganglion cells","CACNA1A"
"KCNH7",0,1.8658696807273,0.733,0.307,0,"Retinal ganglion cells","KCNH7"
"POU2F2",0,2.03106395291927,0.561,0.137,0,"Retinal ganglion cells","POU2F2"
"PTPRE",0,2.88533084875083,0.501,0.079,0,"Retinal ganglion cells","PTPRE"
"ASTN2",0,2.18560203736389,0.676,0.255,0,"Retinal ganglion cells","ASTN2"
"OLFM1",0,2.26065497140742,0.532,0.112,0,"Retinal ganglion cells","OLFM1"
"ADCY1",0,2.22447785093889,0.732,0.313,0,"Retinal ganglion cells","ADCY1"
"MYT1L",0,2.19395788948862,0.696,0.277,0,"Retinal ganglion cells","MYT1L"
"ELAVL3",0,1.64124632979323,0.621,0.204,0,"Retinal ganglion cells","ELAVL3"
"ELAVL2",0,1.85863911641252,0.757,0.34,0,"Retinal ganglion cells","ELAVL2"
"AL445623.2",0,2.16460125413901,0.555,0.139,0,"Retinal ganglion cells","AL445623.2"
"SLC18A2",0,2.37038867851105,0.531,0.12,0,"Retinal ganglion cells","SLC18A2"
"CHRNB3",0,3.03525855627946,0.446,0.042,0,"Retinal ganglion cells","CHRNB3"
"GNAO1",0,2.26649610152452,0.5,0.099,0,"Retinal ganglion cells","GNAO1"
"PHACTR3",0,1.95784619952002,0.533,0.133,0,"Retinal ganglion cells","PHACTR3"
"HECW1",0,1.20684437608263,0.692,0.293,0,"Retinal ganglion cells","HECW1"
"FSTL4",0,2.91972063993468,0.742,0.346,0,"Retinal ganglion cells","FSTL4"
"MYO1D",0,1.79084707879188,0.619,0.225,0,"Retinal ganglion cells","MYO1D"
"EPHB1",0,2.20618376873156,0.694,0.301,0,"Retinal ganglion cells","EPHB1"
"CLSTN2",0,2.37557012406014,0.642,0.252,0,"Retinal ganglion cells","CLSTN2"
"LINC02223",0,2.54412693029525,0.473,0.086,0,"Retinal ganglion cells","LINC02223"
"ADAM11",0,3.03899061220437,0.447,0.06,0,"Retinal ganglion cells","ADAM11"
"PLCB1",0,1.97709971033654,0.671,0.285,0,"Retinal ganglion cells","PLCB1"
"GPR156",0,3.27982990725835,0.442,0.056,0,"Retinal ganglion cells","GPR156"
"NRP1",0,1.8174623234933,0.689,0.304,0,"Retinal ganglion cells","NRP1"
"FRMD3",0,1.87913466792951,0.57,0.187,0,"Retinal ganglion cells","FRMD3"
"NAV1",0,1.54805735788183,0.609,0.228,0,"Retinal ganglion cells","NAV1"
"NKAIN1",0,1.64914172666841,0.645,0.267,0,"Retinal ganglion cells","NKAIN1"
"HSPA12A",0,1.87984958048128,0.513,0.137,0,"Retinal ganglion cells","HSPA12A"
"LHFPL3",0,2.18233495867076,0.611,0.236,0,"Retinal ganglion cells","LHFPL3"
"MGAT4C",0,2.0482945073455,0.54,0.165,0,"Retinal ganglion cells","MGAT4C"
"NSG1",0,1.65038999576607,0.509,0.135,0,"Retinal ganglion cells","NSG1"
"MTUS2",0,2.89190504031798,0.728,0.354,0,"Retinal ganglion cells","MTUS2"
"CTIF",0,1.57296037451523,0.638,0.266,0,"Retinal ganglion cells","CTIF"
"ALCAM",0,2.23413915516341,0.601,0.23,0,"Retinal ganglion cells","ALCAM"
"CELF5",0,1.97586962844356,0.481,0.111,0,"Retinal ganglion cells","CELF5"
"RBPMS",0,2.61426354957339,0.867,0.499,0,"Retinal ganglion cells","RBPMS"
"ATP8A2",0,1.09014190552278,0.645,0.278,0,"Retinal ganglion cells","ATP8A2"
"NTRK3",0,2.74887292204484,0.462,0.095,0,"Retinal ganglion cells","NTRK3"
"TMEM163",0,2.49366817103282,0.47,0.104,0,"Retinal ganglion cells","TMEM163"
"SRCIN1",0,2.03935810234103,0.471,0.105,0,"Retinal ganglion cells","SRCIN1"
"GALNT14",0,2.45811415957794,0.465,0.1,0,"Retinal ganglion cells","GALNT14"
"REEP1",0,1.90582202359742,0.518,0.155,0,"Retinal ganglion cells","REEP1"
"VSTM2L",0,2.01180684039406,0.496,0.133,0,"Retinal ganglion cells","VSTM2L"
"UNC79",0,1.27109027522714,0.68,0.318,0,"Retinal ganglion cells","UNC79"
"SYT14",0,1.40539536442594,0.639,0.281,0,"Retinal ganglion cells","SYT14"
"LRP1B",0,1.93420117117185,0.711,0.354,0,"Retinal ganglion cells","LRP1B"
"DNER",0,1.52365668620623,0.616,0.259,0,"Retinal ganglion cells","DNER"
"NTNG1",0,2.58865161390042,0.671,0.315,0,"Retinal ganglion cells","NTNG1"
"HS3ST5",0,2.0225334692516,0.66,0.305,0,"Retinal ganglion cells","HS3ST5"
"CACNG5",0,1.87555335137018,0.491,0.136,0,"Retinal ganglion cells","CACNG5"
"GRIA2",0,1.0913427119655,0.649,0.295,0,"Retinal ganglion cells","GRIA2"
"ENOX1",0,1.33137294058037,0.705,0.354,0,"Retinal ganglion cells","ENOX1"
"FAR2",0,1.78487999441178,0.561,0.211,0,"Retinal ganglion cells","FAR2"
"PCSK2",0,1.41257566600924,0.641,0.292,0,"Retinal ganglion cells","PCSK2"
"PCNX2",0,1.38010936814949,0.615,0.266,0,"Retinal ganglion cells","PCNX2"
"SMPD3",0,1.22853175728411,0.528,0.18,0,"Retinal ganglion cells","SMPD3"
"DPYSL3",0,1.25314660767537,0.585,0.238,0,"Retinal ganglion cells","DPYSL3"
"KCTD16",0,1.59377196505518,0.769,0.425,0,"Retinal ganglion cells","KCTD16"
"SCN2A",0,1.51295144594042,0.492,0.149,0,"Retinal ganglion cells","SCN2A"
"FRY",0,1.39791538570276,0.579,0.238,0,"Retinal ganglion cells","FRY"
"PDE4DIP",0,1.76442892618364,0.657,0.317,0,"Retinal ganglion cells","PDE4DIP"
"NFASC",0,1.35753883527714,0.606,0.266,0,"Retinal ganglion cells","NFASC"
"EDIL3",0,1.62041320229753,0.835,0.495,0,"Retinal ganglion cells","EDIL3"
"PTPRN2",0,2.27163618665336,0.756,0.418,0,"Retinal ganglion cells","PTPRN2"
"PAM",0,1.56341410550802,0.724,0.386,0,"Retinal ganglion cells","PAM"
"SNTG1",0,2.16322810934349,0.554,0.217,0,"Retinal ganglion cells","SNTG1"
"CPNE4",0,1.89848489359298,0.565,0.229,0,"Retinal ganglion cells","CPNE4"
"PAK5",0,1.10718782807503,0.619,0.284,0,"Retinal ganglion cells","PAK5"
"RNF219-AS1",0,2.75204361530195,0.643,0.309,0,"Retinal ganglion cells","RNF219-AS1"
"LSS",0,1.68123861890662,0.539,0.207,0,"Retinal ganglion cells","LSS"
"GALNTL6",0,2.61983904285223,0.745,0.413,0,"Retinal ganglion cells","GALNTL6"
"CACNG4",0,1.37753084428494,0.552,0.221,0,"Retinal ganglion cells","CACNG4"
"HIVEP3",0,1.16865179640153,0.599,0.268,0,"Retinal ganglion cells","HIVEP3"
"FNDC5",0,2.1219876665305,0.417,0.088,0,"Retinal ganglion cells","FNDC5"
"CNTN2",0,3.18041656270797,0.427,0.099,0,"Retinal ganglion cells","CNTN2"
"GFRA2",0,2.37607128134975,0.402,0.075,0,"Retinal ganglion cells","GFRA2"
"STMN2",0,0.907188845515092,0.874,0.547,0,"Retinal ganglion cells","STMN2"
"RAPGEF4",0,1.64174453374084,0.464,0.139,0,"Retinal ganglion cells","RAPGEF4"
"GNG2",0,1.27535920480871,0.523,0.198,0,"Retinal ganglion cells","GNG2"
"MAST1",0,1.44332285058427,0.505,0.18,0,"Retinal ganglion cells","MAST1"
"PPP2R2B",0,1.33176956573749,0.576,0.252,0,"Retinal ganglion cells","PPP2R2B"
"SOBP",0,1.19085208740023,0.602,0.279,0,"Retinal ganglion cells","SOBP"
"AKAP6",0,1.83383453955214,0.844,0.521,0,"Retinal ganglion cells","AKAP6"
"CELF4",0,0.563349130917126,0.589,0.266,0,"Retinal ganglion cells","CELF4"
"GAB2",0,1.3032844117723,0.667,0.345,0,"Retinal ganglion cells","GAB2"
"DNM3",0,1.45401804296847,0.619,0.297,0,"Retinal ganglion cells","DNM3"
"KCNQ1",0,1.60305951307681,0.508,0.186,0,"Retinal ganglion cells","KCNQ1"
"DGKI",0,1.15142897343851,0.561,0.24,0,"Retinal ganglion cells","DGKI"
"WNK2",0,1.38323847640827,0.628,0.307,0,"Retinal ganglion cells","WNK2"
"SNCA",0,1.35026298280042,0.688,0.368,0,"Retinal ganglion cells","SNCA"
"DCX",0,1.10563542159045,0.571,0.252,0,"Retinal ganglion cells","DCX"
"LIN7A",0,1.69823824760759,0.439,0.121,0,"Retinal ganglion cells","LIN7A"
"MICAL3",0,1.49892050948173,0.61,0.292,0,"Retinal ganglion cells","MICAL3"
"ATCAY",0,1.43155078903454,0.479,0.161,0,"Retinal ganglion cells","ATCAY"
"CACNA1C",0,1.57509355011142,0.59,0.274,0,"Retinal ganglion cells","CACNA1C"
"ASXL3",0,1.07353256947702,0.585,0.269,0,"Retinal ganglion cells","ASXL3"
"GPI",0,1.61329438525783,0.475,0.159,0,"Retinal ganglion cells","GPI"
"NEFM",0,1.3267461660812,0.464,0.149,0,"Retinal ganglion cells","NEFM"
"CRMP1",0,1.15733124517846,0.735,0.422,0,"Retinal ganglion cells","CRMP1"
"ZBTB46",0,1.8384835698105,0.417,0.104,0,"Retinal ganglion cells","ZBTB46"
"KCNMA1",0,1.84741520247821,0.4,0.089,0,"Retinal ganglion cells","KCNMA1"
"OLFM2",0,1.67319982534493,0.444,0.133,0,"Retinal ganglion cells","OLFM2"
"EPB41L1",0,1.63694183685785,0.477,0.168,0,"Retinal ganglion cells","EPB41L1"
"RIT2",0,2.24390210921704,0.417,0.109,0,"Retinal ganglion cells","RIT2"
"GPR149",0,2.25309274805924,0.375,0.068,0,"Retinal ganglion cells","GPR149"
"PEX5L",0,1.09421040296489,0.696,0.389,0,"Retinal ganglion cells","PEX5L"
"NAV2",0,1.9173312368204,0.768,0.462,0,"Retinal ganglion cells","NAV2"
"SLC22A15",0,1.43006307285658,0.454,0.149,0,"Retinal ganglion cells","SLC22A15"
"ATP11A",0,1.77619789750634,0.463,0.158,0,"Retinal ganglion cells","ATP11A"
"BICDL1",0,1.48078352908297,0.43,0.125,0,"Retinal ganglion cells","BICDL1"
"KLF7",0,1.728327528779,0.809,0.505,0,"Retinal ganglion cells","KLF7"
"PODXL2",0,1.4469738466924,0.46,0.157,0,"Retinal ganglion cells","PODXL2"
"STARD13",0,1.81242475678667,0.491,0.188,0,"Retinal ganglion cells","STARD13"
"KAZN",0,1.98540305246009,0.75,0.448,0,"Retinal ganglion cells","KAZN"
"PRKCB",0,1.48948825747109,0.495,0.193,0,"Retinal ganglion cells","PRKCB"
"GABRB3",0,0.813938200844229,0.658,0.357,0,"Retinal ganglion cells","GABRB3"
"SCN7A",0,2.06068810235579,0.376,0.075,0,"Retinal ganglion cells","SCN7A"
"UCHL1",0,1.19907199753244,0.478,0.177,0,"Retinal ganglion cells","UCHL1"
"SYT7",0,1.63140803738701,0.428,0.127,0,"Retinal ganglion cells","SYT7"
"EPB41L3",0,1.23240522473047,0.625,0.324,0,"Retinal ganglion cells","EPB41L3"
"SEMA3E",0,2.34562234994871,0.384,0.084,0,"Retinal ganglion cells","SEMA3E"
"LRFN5",0,1.85947638224108,0.846,0.547,0,"Retinal ganglion cells","LRFN5"
"PLPPR3",0,1.39131707617824,0.474,0.176,0,"Retinal ganglion cells","PLPPR3"
"GRM3",0,2.4549815567653,0.364,0.067,0,"Retinal ganglion cells","GRM3"
"PDE4B",0,1.01964933799648,0.646,0.35,0,"Retinal ganglion cells","PDE4B"
