"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue"
"chr9",136051432,136545862,494431,"*",0.129302729855748,"NOTCH1","chr9-136050144-136052719",2.95598190258313,0.00155837689121626
"chr9",136135718,136545862,410145,"*",0.0996732849806283,"NOTCH1","chr9-136135336-136136100",2.34825848557732,0.00943071339727328
"chr9",136148301,136545862,397562,"*",0.123260678849545,"NOTCH1","chr9-136147805-136148796",2.35189375749476,0.00933905448049019
"chr9",136268131,136545862,277732,"*",0.0947408057029038,"NOTCH1","chr9-136266989-136269273",2.20920650511711,0.0135801403181664
"chr9",136309231,136545862,236632,"*",0.0788430543643825,"NOTCH1","chr9-136308974-136309488",1.72359426553552,0.0423905572427971
"chr9",136327458,136545862,218405,"*",0.109417072064045,"NOTCH1","chr9-136325871-136329045",2.36867871960742,0.00892587659660088
"chr9",136342693,136545862,203170,"*",0.190012758027015,"NOTCH1","chr9-136341978-136343407",4.6994783366255,1.30413443517363e-06
"chr9",136363557,136545862,182306,"*",0.105953877067309,"NOTCH1","chr9-136362875-136364238",2.20981429698119,0.0135590265380178
"chr9",136373115,136545862,172748,"*",0.110215018579716,"NOTCH1","chr9-136372287-136373942",2.8381715213922,0.00226863967682468
"chr9",136483586,136545862,62277,"*",0.101253859189953,"NOTCH1","chr9-136482485-136484687",2.30787713246967,0.0105029856384426
"chr9",136493549,136545862,52314,"*",0.127099342200467,"NOTCH1","chr9-136492749-136494348",3.16206083899831,0.000783284155416593
"chr9",136512661,136545862,33202,"*",0.340419351071817,"NOTCH1","chr9-136512041-136513281",9.91090285690988,1.86628868375454e-23
"chr9",136516211,136545862,29652,"*",0.0899039493177962,"NOTCH1","chr9-136516048-136516374",1.83487799751672,0.0332618842143222
"chr9",136520062,136545862,25801,"*",0.132492850164865,"NOTCH1","chr9-136519869-136520254",2.8609123596113,0.00211211903974054
"chr9",136526390,136545862,19473,"*",0.361212100658111,"NOTCH1","chr9-136525750-136527030",10.6208538843414,1.19185293941264e-26
"chr9",136528194,136545862,17669,"*",0.244459865942883,"NOTCH1","chr9-136527752-136528636",6.73818009128218,8.0191355186159e-12
"chr9",136535155,136545862,10708,"*",0.100791395112262,"NOTCH1","chr9-136535018-136535292",2.20430828748386,0.0137513352572612
"chr9",136542483,136545862,3380,"*",0.398041800358528,"NOTCH1","chr9-136542126-136542839",12.3785512780934,1.70725294106346e-35
"chr9",136544245,136545862,1618,"*",0.383444643270799,"NOTCH1","chr9-136543748-136544741",10.8365780633628,1.1547433852292e-27
"chr9",136545862,136546262,401,"*",0.368873549021429,"NOTCH1","chr9-136545804-136546720",10.6551496968191,8.24895131065908e-27
"chr9",136545862,136546853,992,"*",0.108885352457955,"NOTCH1","chr9-136546735-136546971",2.27940810045326,0.0113214086220314
"chr9",136545862,136572296,26435,"*",0.18589074280535,"NOTCH1","chr9-136571757-136572834",4.57482799628702,2.38305693495982e-06
"chr9",136545862,136587903,42042,"*",0.149260348967676,"NOTCH1","chr9-136586742-136589064",3.62169545798852,0.000146339274314758
"chr9",136545862,136596682,50821,"*",0.177003032807837,"NOTCH1","chr9-136596315-136597048",4.64849662471713,1.67181546018991e-06
"chr9",136545862,136599942,54081,"*",0.208500145179039,"NOTCH1","chr9-136599259-136600624",5.32188620739904,5.13484039499724e-08
"chr9",136545862,136625135,79274,"*",0.109027420308418,"NOTCH1","chr9-136624920-136625349",2.61800941821594,0.00442221819897734
"chr9",136545862,136630908,85047,"*",0.103067363623986,"NOTCH1","chr9-136630065-136631750",2.91945500024023,0.00175322007493317
"chr9",136545862,136650662,104801,"*",0.0706184368695928,"NOTCH1","chr9-136650396-136650927",2.22504572569421,0.0130390843373951
"chr9",136545862,136720468,174607,"*",0.131128754150671,"NOTCH1","chr9-136719982-136720954",3.32296171599578,0.000445335686717276
"chr9",136545862,136763246,217385,"*",0.0945586699695294,"NOTCH1","chr9-136762859-136763632",1.70912375210565,0.0437140143623066
"chr9",136545862,136791275,245414,"*",0.140855504665601,"NOTCH1","chr9-136790473-136792077",3.87123012318234,5.41437509776165e-05
"chr9",136545862,136966170,420309,"*",0.0778294021644988,"NOTCH1","chr9-136965794-136966545",1.91286603451902,0.0278826023945501
"chr9",136545862,136978350,432489,"*",0.0965929315621977,"NOTCH1","chr9-136977359-136979341",1.96111652437076,0.024932715768063
"chr9",136545862,137025606,479745,"*",0.121576252448705,"NOTCH1","chr9-137025237-137025975",2.63285021667378,0.0042335839402208
